pid,homo,hetero,presence
P08,A,3,True
P20,A,5,True
P22,A,2,True
P35,A,4,True
P37,A,1,True
P26,A,6,False
P01,B,2,True
P03,B,5,True
P05,B,1,True
P09,B,6,True
P13,B,3,True
P29,B,4,True
P02,C,5,True
P07,C,2,True
P10,C,3,True
P12,C,6,True
P14,C,1,True
P33,C,4,True
P11,D,5,True
P15,D,3,True
P25,D,1,True
P27,D,6,True
P32,D,2,True
P06,D,4,False
P04,E,1,True
P17,E,5,True
P19,E,6,True
P21,E,4,True
P24,E,2,True
P30,E,3,True
P16,F,4,True
P18,F,2,True
P23,F,5,True
P28,F,6,True
P34,F,3,True
P36,F,1,True
P31,F,1,False
