id,project_name,vote,cost,mes190k,grdy190k,mes380k,grdy380k,final
42,Openairkino auf dem Bäumli,30,2500,True,True,True,True,True
107,LERNFEST Winterthur,28,8000,True,True,True,True,True
122,Das Tanzfest Winterthur 2025,27,29200,True,True,True,True,True
80,Neuer Online-Kulturkalender für Winterthur,27,27600,True,True,True,True,True
140,Fabrica,26,16750,True,True,True,True,True
60,Kulturnacht Winterthur,26,5000,True,True,True,True,True
46,Musikfestwochen für alle,26,9000,True,True,True,True,True
148,SOAP FOR PUBLIC,25,10000,True,True,True,True,True
89,BAZAR BASH,24,9100,True,True,True,True,True
19,Kulturstifter,24,5000,True,True,True,True,True
126,Connection instead Addiction,23,13000,False,True,True,True,True
130,Bock auf Kunst,23,40000,False,True,True,True,False
67,Kultur-Agenda,23,18000,True,False,True,True,True
36,Rahmenprogramm 18. Jungkunst 2024,23,9500,True,False,True,True,True
117,lauschig – wOrte im Freien 2024,22,40000,False,False,True,True,True
16,Dokfilm: Die Unsichtbaren (Arbeitstitel).,22,20000,False,False,True,True,True
102,Afro-Classics im Rahmen des Afro-Pfingsten Festivals 2025,21,8000,False,False,True,True,True
112,Sub Factory,21,8000,False,False,True,True,True
150,25. Fenster,21,6000,True,False,True,True,True
12,Bambolini!,21,5000,False,False,True,True,True
135,Bühne frei für Frauen in Musik und Literatur,20,9000,False,False,True,True,False
100,NEU!,19,6000,True,False,True,True,True
77,Café des Arts,19,5000,True,False,True,True,True
75,Hereinspaziert ins Theater Winterthur an der Liebestrasse,19,9000,False,False,True,True,False
5,"Wir, hier. Briefe an Winterthur",19,24500,False,False,False,True,True
141,Goldene Körper: Ein Tanz der Selbstliebe und des Mitmachens.,18,9650,True,False,False,True,True
143,Dinner with Strangers,18,4800,False,False,True,True,False
144,coconcert,18,8900,False,False,True,True,False
149,Ministerium für Verbundenheit: Beziehungstherapie für Winterthur. Ein Forschungslabor.,18,10000,False,False,True,True,False
94,Selbstbewusst mit Loulou,18,6000,False,False,False,False,False
93,Gesehen,18,13000,False,False,False,False,True
30,Residence Project,18,5000,False,False,True,False,False
129,GEN Z trifft Kunst,17,6000,True,False,True,False,True
136,Grienen Openair,17,5000,False,False,False,False,False
146,Tausch-Festival,17,25000,False,False,False,False,False
81,AlbTraumWelt,17,9900,False,False,True,False,True
65,Clown-Theater Schanz & Ganz,17,20000,False,False,False,False,True
53,Erzählkultur für Winterthur,17,7000,False,False,True,False,False
37,Die Samstagsmatinée,17,5000,True,False,True,False,True
14,Haltestelle 21: Pedibus de la Culture – De Pedibus vo Winti,17,20000,False,False,False,False,True
79,Poetographische Plakate,16,9000,False,False,False,False,False
52,Schwiizer Pantone - Colors of Switzerland,16,3000,False,False,True,False,False
61,GEISTERBAHN - Figurentheater Matou,15,10000,False,False,False,False,False
9,F — E Filmpreis,15,28000,False,False,False,False,True
147,Konzertreihe Salle Bolivar,14,10000,False,False,False,False,True
134,AltstadtAlltag - Eine Winterthurer Seelenbestandsaufnahme (AT),13,8000,False,False,False,False,False
138,"Kleine Häuser, grosse Vielfalt – Winterthurer Waschhäuschen früher und heute (Arbeitstitel)",13,35000,False,False,False,False,False
76,Peter und der Wolf – Konzertsaison 24/25,13,40000,False,False,False,False,True
95,Konzertreihe Klang und Raum: ein lebendiges Klangporträt der Stadt,12,15000,False,False,False,False,False
31,Ein Schaf fürs Leben!,12,19300,False,False,False,False,False
22,Green Rock,12,9000,False,False,False,False,False
105,Hausgeister,11,10000,False,False,False,False,False
142,"""copy paste""",11,4500,False,False,False,False,True
20,Cashflow,11,25000,False,False,False,False,True
124,Goppisberg Musikfestival und Akademie,9,20000,False,False,False,False,False
78,Aufführung des Oratoriums „Die Schöpfung“ von Joseph Haydn,9,5000,False,False,False,False,True
